Course Title,Course Description
<b>DATA BASE MANAGEMENT SYSTEMS</b>,"<i>
The analysis, design, operation and maintenance of large information
systems, especially those using database techniques, on-line
processing, and networking. The most common models for database
management systems with commercial examples.
Prereq: Comp 2113, Math 1413, (1323 or 1333) each with C- or better
</i>"
<b>ADV OBJ ORIENTED APP DEV W/C++</b>,"<i>
Advanced topics in object-oriented programming, analysis, and design
using C++. Compile and run time binding, reflective and polymorphic
programming, compile and run time type parametrization.  Standard
template library. Design patterns and frameworks in C++.
Prereq: Comp 2103, 2113, 2663 with C- or better
</i>"
<b>SPECIAL TOPICS</b>,"<i>
Prereq: permission of School
</i>"
<b>ADV COMPUTER ARCHITECTURE</b>,"<i>
New generation architectures and technologies, foundations of parallel
computation, software for advanced architecture, parallel architectures.
Prereq: Comp 3703, 3713
</i>"
<b>COMP NET &amp; DISTRIBUTED SYSTEMS</b>,"<i>
Design and implementation of computer networks and related systems,
communications protocols and distributed systems.
Prereq: Comp 3343, Comp 3713, Math 1413, Math 1323 with a minimum of C-.
</i>"
<b>TOPICS: COMP &amp; NETWORK SEC</b>,"<i>
This course will cover selected topics such as: authentication
applications, data integrity and privacy, anonymity, security
infrastructures and intrusion prevention, network attacks, and wireless
Networks and Security.
Prereq: Comp 2523 and 4343, each with C- or better
Coreq or prereq of Math 4333 or permission of the School
</i>"
<b>ENVIRONMENTAL INFORMATICS</b>,"<i>
This course consists of intensive examination of selected specific
advanced topics in computer science and information technology for
environmental science.
Prereq: permission of the school
</i>"
<b>GAME DEVELOPMENT</b>,"<i>
The game development life cycle, game design and programming, graphics
engines and game engines, game tools.
Prereq: Comp 3553 and 3773, each with C- or better
</i>"
<b>MOBILE/UBIQUITOUS COMPUTING</b>,"<i>
The skills required to develop applications for mobile and wireless
devices are increasing in demand. This course provides the skills and
background needed to understand the technologies used in mobile
computing and how to apply this knowledge to real-world applications.
This course will provide specific skills needed for designing,
developing and deploying mobile applications.
Prereq: Comp 3343, Comp 2513, Comp 3713
</i>"
<b>ARTIFICIAL INTELLIGENCE 2</b>,"<i>
Special topics in artificial intelligence.
Prereq: Comp 3613 with a minimum grade of C- or permission of the
School.
</i>"
<b>SPECIAL TOPICS</b>,"<i>
Prereq: Permission of school
</i>"
<b>CAPSTONE PROJECT</b>,"<i>
Experience in the design, development, implementation and documentation
of a significant computer software or hardware system; or a thorough
literature review and analysis of an aspect of computer science. A final
project report and a presentation to the School are required.
Prereq: 12h computer science at the 3000 or 4000 level, each with C- or
better
Credit cannot be obtained for both Comp 4983 and 4996.
</i>"
<b>HONOURS THESIS</b>,"<i>
Antirequisite: Credit cannot be obtained for both Comp 4983 and 4996.
</i>"
